lcs,lcs2,ngd,jacpos,cospos,lev1,euc,FFF,cos2,cos,cos1,jac2,jac,f2,sizediff,dis,l1,l2,lsa,sim
0.833333333,0.5,0.8,0.333333333,0.941176471,2,0.166666667,FALSE,0,0.833333333,0.833333333,0.285714286,0.285714286,4096577,0,0,TRUE,TRUE,0.901467161,yes
1,0.8,1,0,1,0,0,FALSE,1,1,1,0,0,4096576,0,0,TRUE,TRUE,1,yes
0.25,0.5,0,1,0.654653671,4,1,FALSE,0,0.353553391,0.353553391,0.8,0.8,1514746,0,2,TRUE,FALSE,0.752716293,no
0.4,1,0.666666667,0.5,0.680413817,4,1,FALSE,0,0.516397779,0.516397779,0.666666667,0.666666667,2041337,0,2,TRUE,TRUE,0.884793094,no
0.75,0.5,0.516397779,0.666666667,0.629940788,2,0.25,FALSE,0,0.75,0.75,0.4,0.4,32435,0,0,TRUE,TRUE,0.681216128,yes
0.166666667,0.333333333,0.333333333,0.8,0.707106781,7,1,FALSE,0,0.23570226,0.471404521,0.714285714,0.875,2043793,0,3,TRUE,FALSE,0.593029036,yes
0,0.4,0,1,0.421637021,13,1,FALSE,0,0,0.158113883,0.916666667,1,4096998,3,3,FALSE,FALSE,0.222361058,no
0.5,0.666666667,0.577350269,0.6,0.666666667,3,0.5,FALSE,0,0.577350269,0.577350269,0.6,0.6,234900,0,1,FALSE,FALSE,0.746742783,yes
0.285714286,0.333333333,0.288675135,0.833333333,0.648885685,6,1,FALSE,0,0.43643578,0.43643578,0.75,0.75,2046948,0,4,TRUE,TRUE,0.743540671,no
0.444444444,0.428571429,0.474341649,0.7,0.77151675,8,1,FALSE,0,0.503952631,0.503952631,0.666666667,0.666666667,48945,3,2,TRUE,TRUE,0.649373127,no
0,0.166666667,0,1,0.319801075,10,1,FALSE,0,0,0,1,1,746685,1,2,FALSE,FALSE,0.20393797,no
0.333333333,0.5,0.589255651,0.583333333,0.733358798,12,0.916666667,FALSE,0,0.456435465,0.63900965,0.533333333,0.705882353,297573,0,2,FALSE,FALSE,0.759284005,yes
0.25,0.5,0.666666667,0.5,0.721687836,5,1,FALSE,0,0.288675135,0.577350269,0.6,0.833333333,1977535,1,1,TRUE,FALSE,0.65422699,yes
0.285714286,0.833333333,0.2,0.888888889,0.356348323,9,1,FALSE,0,0.3086067,0.3086067,0.818181818,0.818181818,1087806,3,1,TRUE,TRUE,0.65849306,no
0.2,0.25,0.288675135,0.833333333,0.666666667,7,1,FALSE,0,0.223606798,0.223606798,0.875,0.875,2048537,1,1,FALSE,TRUE,0.398270991,no
0.75,0.5,0.666666667,0.5,0.875,2,0.25,FALSE,0,0.75,0.75,0.4,0.4,4096580,0,0,TRUE,TRUE,0.790189424,yes
0,0.428571429,0,1,0.636396103,13,1,FALSE,0,0,0,1,1,4096999,3,1,FALSE,FALSE,0.022770524,no
1,0.75,1,0,1,0,0,FALSE,1,1,1,0,0,4096576,0,0,TRUE,TRUE,1,yes
0.333333333,0.5,0.5,0.666666667,0.730296743,3,1,FALSE,0,0.40824829,0.40824829,0.75,0.75,176914,1,1,TRUE,FALSE,0.727558311,yes
0.5,0.666666667,0.632455532,0.6,0.681005225,3,0.666666667,FALSE,0,0.707106781,0.707106781,0.5,0.5,4096576,0,3,FALSE,FALSE,0.59160551,no
0.2,0.4,0,1,0.239045722,7,0.8,FALSE,0,0.223606798,0.223606798,0.875,0.875,3347829,3,1,FALSE,FALSE,0.470794923,no
0.333333333,0.5,0.816496581,0.333333333,0.833333333,3,0.666666667,TRUE,0,0.40824829,0.816496581,0.333333333,0.75,249608,0,1,FALSE,FALSE,0.818528865,no
0.333333333,0.666666667,0.40824829,0.75,0.730296743,3,1,FALSE,0,0.40824829,0.40824829,0.75,0.75,2052035,0,1,TRUE,FALSE,0.19137029,no
0.5,0.333333333,0.666666667,0.5,0.77151675,3,1,FALSE,0,0.577350269,0.577350269,0.6,0.6,289262,3,1,TRUE,TRUE,0.367193688,no
0.25,0.25,0.666666667,0.5,0.7,6,0.75,FALSE,0,0.25,0.25,0.857142857,0.857142857,177372,3,0,TRUE,FALSE,0.312234835,no
0.5,0.4,0.288675135,0.833333333,0.666666667,5,0.833333333,FALSE,0,0.547722558,0.547722558,0.625,0.625,4096802,0,1,FALSE,TRUE,0.605239463,no
1,0.5,1,0,1,0,0,FALSE,0,1,1,0,0,4050,0,0,TRUE,TRUE,1,yes
0.5,0.5,0.666666667,0.5,0.714285714,4,0.5,FALSE,0,0.5,0.5,0.666666667,0.666666667,1308828,0,0,TRUE,TRUE,0.721830649,yes
0.75,0.25,0.666666667,0.5,0.916666667,2,0.25,FALSE,1,0.75,0.75,0.4,0.4,4096580,0,0,TRUE,TRUE,0.874798683,yes
0.166666667,0.333333333,0,1,0.594088526,7,0.833333333,FALSE,0,0.23570226,0.23570226,0.875,0.875,1218279,0,3,FALSE,FALSE,0.323893607,no
0.5,0.5,0.577350269,0.6,0.738548946,3,0.5,FALSE,0,0.577350269,0.577350269,0.6,0.6,2053350,0,1,FALSE,FALSE,0.681805804,no
0.166666667,0,0.223606798,0.875,0.804984472,7,1,FALSE,0,0.365148372,0.547722558,0.625,0.777777778,2054658,0,1,FALSE,FALSE,0.65431894,no
0.142857143,0.333333333,0.166666667,0.909090909,0.3,11,1,FALSE,0.353553391,0.15430335,0.15430335,0.916666667,0.916666667,59658,1,1,TRUE,FALSE,0.342691292,no
0.2,0.8,0.333333333,0.8,0.571428571,7,0.8,FALSE,0,0.223606798,0.447213595,0.714285714,0.875,2058240,0,1,FALSE,FALSE,0.762561792,no
0.222222222,0.75,0.267261242,0.875,0.474341649,9,1,FALSE,0,0.333333333,0.333333333,0.818181818,0.818181818,1380077,1,5,FALSE,FALSE,0.267685523,no
0.1,0.6,0.166666667,0.916666667,0.449050209,13,1,FALSE,0,0.141421356,0.282842712,0.846153846,0.928571429,288485,3,5,FALSE,FALSE,0.312440271,no
0.333333333,0.5,0.816496581,0.333333333,0.833333333,3,0.666666667,TRUE,0,0.40824829,0.816496581,0.333333333,0.75,249608,0,1,FALSE,FALSE,0.9990996,no
0.2,0.666666667,0.577350269,0.6,0.742307489,6,1,FALSE,0,0.25819889,0.516397779,0.666666667,0.857142857,785084,0,2,TRUE,FALSE,0.309754582,no
0,0.666666667,0.40824829,0.75,0.588348405,7,1,FALSE,0,0,0.288675135,0.833333333,1,1333903,1,1,FALSE,FALSE,0.231975269,no
0.142857143,0,0.447213595,0.714285714,0.63900965,8,1,FALSE,0,0.21821789,0.21821789,0.888888889,0.888888889,4096849,0,4,TRUE,FALSE,0.466049686,no
0.6,0.75,0.516397779,0.666666667,0.816496581,3,1,FALSE,0,0.670820393,0.670820393,0.5,0.5,4097000,1,1,TRUE,TRUE,0.953776154,yes
0.333333333,0.5,0.75,0.4,0.815374248,6,1,FALSE,0,0.5,0.666666667,0.5,0.666666667,840909,0,0,FALSE,FALSE,0.751882458,yes
0.333333333,0.333333333,0.5,0.666666667,0.77151675,3,1,FALSE,0,0.40824829,0.40824829,0.75,0.75,2058883,0,1,TRUE,FALSE,0.697883688,no
0.4,1,0.447213595,0.714285714,0.668153105,5,0.8,FALSE,0,0.447213595,0.447213595,0.714285714,0.714285714,4097001,0,1,TRUE,FALSE,0.675783765,no
0.25,0.5,0.40824829,0.75,0.668153105,6,0.75,FALSE,0,0.25,0.5,0.666666667,0.857142857,1847999,1,0,TRUE,FALSE,0.840002955,yes
0.25,0.5,0.288675135,0.833333333,0.667423812,6,0.75,FALSE,0,0.25,0.5,0.666666667,0.857142857,194391,1,0,TRUE,FALSE,0.852028319,no
0.5,0.25,0.5,0.666666667,0.839146392,4,0.5,FALSE,0,0.5,0.5,0.666666667,0.666666667,4096758,0,0,FALSE,TRUE,0.848871315,no
0.5,0.666666667,0.40824829,0.75,0.721687836,3,0.75,FALSE,0,0.577350269,0.577350269,0.6,0.6,4096577,0,1,TRUE,FALSE,0.679273079,no
0.333333333,0.25,0.577350269,0.6,0.589255651,6,1,FALSE,0,0.40824829,0.40824829,0.75,0.75,4097002,3,2,TRUE,TRUE,0.813511612,no
0.2,0.25,0.223606798,0.875,0.690065559,7,1,FALSE,0,0.223606798,0.223606798,0.875,0.875,2584723,3,1,TRUE,FALSE,0.457186919,no
0,0,0.204124145,0.888888889,0.416666667,12,1,FALSE,0,0,0.169030851,0.909090909,1,169813,3,2,FALSE,FALSE,0.201729174,no
0.4,0.6,0.5,0.666666667,0.544331054,5,1,FALSE,1,0.447213595,0.447213595,0.714285714,0.714285714,119249,0,1,TRUE,TRUE,0.654923534,yes
0.6,0.4,0.670820393,0.5,0.777777778,4,0.4,FALSE,1,0.6,0.6,0.571428571,0.571428571,635893,0,0,TRUE,TRUE,0.784089411,no
0.75,0.75,0.666666667,0.5,0.875,2,0.25,FALSE,0,0.75,0.75,0.4,0.4,4096684,0,0,TRUE,FALSE,0.912771705,no
0.125,0.666666667,0.23570226,0.875,0.40824829,9,0.875,FALSE,0,0.204124145,0.204124145,0.9,0.9,380515,1,5,FALSE,FALSE,0.357594539,no
0.5,0.5,0.666666667,0.5,0.6172134,4,0.5,FALSE,0,0.5,0.5,0.666666667,0.666666667,176291,1,0,TRUE,TRUE,0.556606116,no
0.222222222,0.666666667,0.288675135,0.857142857,0.654653671,7,0.888888889,FALSE,0,0.522232968,0.522232968,0.888888889,0.888888889,404993,0,6,FALSE,FALSE,0.438692535,no
0.5,1,0.670820393,0.5,0.666666667,5,1,FALSE,0,0.547722558,0.547722558,0.625,0.625,1138975,0,1,TRUE,TRUE,0.868500874,no
0.571428571,0.666666667,0.547722558,0.625,0.792593924,5,0.714285714,FALSE,0,0.6172134,0.6172134,0.555555556,0.555555556,1880593,0,1,TRUE,TRUE,0.779421963,no
0,0.333333333,0,1,0.400891863,7,1,FALSE,0,0,0,1,1,64334,0,1,FALSE,FALSE,0.020368327,no
0,0.333333333,0,1,0.170251306,10,1,FALSE,0,0,0,1,1,524864,1,2,FALSE,FALSE,0.030889218,yes
1,0.4,1,0,1,0,0,FALSE,0,1,1,0,0,4096576,0,0,TRUE,TRUE,1,yes
0.6,0.6,0.577350269,0.6,0.797724035,3,0.4,FALSE,0,0.670820393,0.670820393,0.5,0.5,4096577,0,1,FALSE,FALSE,0.833036467,no
0.444444444,0.444444444,0.56694671,0.625,0.755928946,7,1,FALSE,0,0.544331054,0.544331054,0.636363636,0.636363636,915953,3,3,TRUE,TRUE,0.816210014,no
0.75,0.666666667,0.816496581,0.333333333,0.9258201,1,0.5,FALSE,0,0.866025404,0.866025404,0.25,0.25,4096576,0,1,TRUE,FALSE,0.99880619,no
0.2,0.6,0.333333333,0.8,0.654653671,6,1,FALSE,0,0.25819889,0.25819889,0.857142857,0.857142857,923690,0,2,TRUE,FALSE,0.587964391,yes
0.444444444,0.5,0.365148372,0.777777778,0.808158688,9,0.888888889,FALSE,1,0.471404521,0.471404521,0.692307692,0.692307692,4097003,0,1,TRUE,TRUE,0.694169213,no
0.166666667,0.5,0.25819889,0.857142857,0.609271796,8,1,FALSE,0,0.204124145,0.204124145,0.888888889,0.888888889,2060681,1,2,FALSE,FALSE,0.448383573,no
0.333333333,0.333333333,0.5,0.666666667,0.6172134,4,0.666666667,FALSE,0,0.333333333,0.333333333,0.8,0.8,52710,0,0,TRUE,FALSE,0.449595293,yes
0.8,0.5,0.866025404,0.25,0.904534034,1,0.2,TRUE,0,0.894427191,0.894427191,0.2,0.2,4096576,0,1,FALSE,FALSE,0.942493824,no
0.6,0.6,0.333333333,0.8,0.589255651,4,0.4,FALSE,0,0.6,0.8,0.333333333,0.571428571,1159894,0,0,TRUE,TRUE,0.802280292,yes
0.285714286,0.5,0.612372436,0.571428571,0.686406473,7,1,FALSE,0,0.377964473,0.56694671,0.625,0.777777778,77023,1,3,TRUE,TRUE,0.684482079,no
0,0.666666667,0.353553391,0.8,0.569802882,7,1,FALSE,0,0,0.288675135,0.833333333,1,580975,1,1,FALSE,FALSE,0.230348466,no
0.571428571,0.571428571,0.730296743,0.428571429,0.76271277,5,0.428571429,FALSE,0,0.6172134,0.77151675,0.375,0.555555556,4097004,0,1,FALSE,FALSE,0.86439406,yes
0.5,0.5,0.833333333,0.285714286,0.841334141,6,0.875,FALSE,0,0.577350269,0.721687836,0.444444444,0.6,97348,3,2,FALSE,FALSE,0.856766153,yes
0.428571429,0.25,0.471404521,0.714285714,0.639602149,5,0.857142857,FALSE,0,0.56694671,0.56694671,0.625,0.625,92526,0,3,FALSE,FALSE,0.562440336,yes
0.5,0.5,0.40824829,0.75,0.738548946,3,0.5,FALSE,0,0.577350269,0.577350269,0.6,0.6,4096577,0,1,FALSE,FALSE,0.341318348,no
0.8,0.4,0.8,0.333333333,0.915208631,2,0.2,FALSE,0,0.8,0.8,0.333333333,0.333333333,2063324,0,0,TRUE,TRUE,0.999866902,yes
0.4,1,0.577350269,0.6,0.632455532,4,1,FALSE,1,0.516397779,0.516397779,0.666666667,0.666666667,156346,0,2,TRUE,TRUE,0.670995691,no
0.2,0.8,0,1,0.589255651,7,0.8,FALSE,0,0.223606798,0.447213595,0.714285714,0.875,4096577,0,1,FALSE,FALSE,0.345716257,no
0.166666667,0.4,0.333333333,0.8,0.572077554,9,0.833333333,FALSE,0,0.182574186,0.365148372,0.777777778,0.9,988092,0,1,FALSE,FALSE,0.553223403,no
0.666666667,0.5,0.666666667,0.5,0.815374248,4,0.333333333,FALSE,0,0.666666667,0.666666667,0.5,0.5,528871,0,0,TRUE,TRUE,0.856544289,yes
0.75,0.25,0.666666667,0.5,0.916666667,2,0.25,FALSE,0,0.75,0.75,0.4,0.4,4096580,0,0,TRUE,TRUE,0.311245492,yes
0.5,0.5,0.353553391,0.8,0.804030252,3,1,FALSE,1,0.577350269,0.577350269,0.6,0.6,4097005,3,1,TRUE,TRUE,0.714407513,no
0.2,0.75,0.288675135,0.833333333,0.668993608,7,1,FALSE,0,0.223606798,0.223606798,0.875,0.875,77422,1,1,TRUE,FALSE,0.434991774,yes
0.333333333,0.5,0.5,0.666666667,0.730296743,3,1,FALSE,0,0.40824829,0.40824829,0.75,0.75,495714,3,1,TRUE,FALSE,0.02317687,no
0.6,0.4,0.333333333,0.8,0.720576692,4,0.4,FALSE,0,0.6,0.8,0.333333333,0.571428571,4097006,0,0,TRUE,TRUE,0.754722096,no
0.75,0.5,0.666666667,0.5,0.857142857,2,0.25,FALSE,1,0.75,0.75,0.4,0.4,32435,0,0,TRUE,TRUE,0.825175629,yes
0.333333333,0.25,0.288675135,0.833333333,0.560448538,6,0.666666667,FALSE,0,0.40824829,0.40824829,0.75,0.75,496351,1,2,FALSE,FALSE,0.558679406,no
0.5,0.5,0.666666667,0.5,0.857142857,4,0.5,FALSE,0,0.5,0.5,0.666666667,0.666666667,433223,1,0,TRUE,TRUE,0.740794763,no
0.8,0.2,0.75,0.4,0.923076923,2,0.2,FALSE,0,0.8,0.8,0.333333333,0.333333333,4096580,0,0,TRUE,TRUE,0.881250894,yes
0.75,0.5,0.75,0.4,0.857142857,2,0.25,FALSE,0.5,0.75,0.75,0.4,0.4,115425,0,0,TRUE,FALSE,0.802417434,no
1,0.666666667,1,0,1,0,0,FALSE,1,1,1,0,0,4096576,0,0,TRUE,TRUE,1,yes
0.4,0.2,0.666666667,0.5,0.804030252,4,1,FALSE,0,0.516397779,0.516397779,0.666666667,0.666666667,2065037,0,2,TRUE,TRUE,0.756760624,no
0.666666667,0.333333333,0.5,0.666666667,0.833333333,2,0.333333333,FALSE,0,0.666666667,0.666666667,0.5,0.5,4096580,0,0,TRUE,FALSE,0.314217399,yes
0.2,0.8,0.288675135,0.833333333,0.400891863,7,1,FALSE,0,0.223606798,0.223606798,0.875,0.875,2342,0,1,FALSE,FALSE,0.281068279,no
0.166666667,0.4,0,1,0.605405515,9,0.833333333,FALSE,0,0.182574186,0.547722558,0.625,0.9,4096680,0,1,FALSE,FALSE,0.602325828,no
0.75,0.333333333,0.816496581,0.333333333,0.943879807,1,0.25,TRUE,0,0.866025404,0.866025404,0.25,0.25,4096819,0,1,FALSE,FALSE,0.838941638,no
0.6,0.4,0.333333333,0.8,0.40824829,4,0.4,FALSE,0,0.6,1,0,0.571428571,4097007,0,0,TRUE,TRUE,1,yes
0.6,0.4,0.288675135,0.833333333,0.824957911,3,0.8,FALSE,0,0.670820393,0.670820393,0.5,0.5,4097008,0,1,FALSE,TRUE,0.882402831,no
0.75,1,0.816496581,0.333333333,0.824957911,1,0.25,TRUE,0,0.866025404,0.866025404,0.25,0.25,4096576,0,1,FALSE,FALSE,0.871184715,no
0.666666667,0.5,0.6,0.571428571,0.815374248,3,1,FALSE,0,0.730296743,0.730296743,0.428571429,0.428571429,2069610,0,1,TRUE,TRUE,0.867220301,no
0.8,0.4,0.75,0.4,0.9,2,0.2,FALSE,0,0.8,0.8,0.333333333,0.333333333,1192150,0,0,TRUE,TRUE,0.849224689,no
0.5,0.666666667,0.40824829,0.75,0.77151675,3,0.75,FALSE,0,0.577350269,0.577350269,0.6,0.6,4096577,0,1,TRUE,FALSE,0.318705869,no
0.333333333,0.75,0.447213595,0.714285714,0.670820393,6,1,FALSE,0,0.40824829,0.40824829,0.75,0.75,1085937,0,2,TRUE,TRUE,0.615771213,yes
0.428571429,0.833333333,0.4,0.75,0.603022689,7,1,FALSE,0,0.46291005,0.6172134,0.555555556,0.7,1279421,3,1,TRUE,TRUE,0.806313612,no
0.5,0.5,0.40824829,0.75,0.632455532,3,0.5,FALSE,0,0.577350269,0.577350269,0.6,0.6,4096576,0,1,FALSE,FALSE,0.478388721,no
0.142857143,1,0.25819889,0.857142857,0.569802882,7,1,FALSE,0,0.377964473,0.377964473,0.777777778,0.777777778,168719,0,3,FALSE,FALSE,0.624204758,no
0.5,0.333333333,0.666666667,0.5,0.730296743,3,1,FALSE,1,0.577350269,0.577350269,0.6,0.6,2071870,3,1,TRUE,TRUE,0.717164481,no
0.75,0.5,0.666666667,0.5,0.836660027,2,0.5,FALSE,0,0.75,0.75,0.4,0.4,4096576,0,0,FALSE,FALSE,0.802330092,no
0.833333333,0.333333333,0.75,0.4,0.894427191,2,0.166666667,FALSE,0,0.833333333,0.833333333,0.285714286,0.285714286,293625,0,0,TRUE,TRUE,0.98021809,no
0,0.666666667,0.5,0.666666667,0.6172134,6,1,FALSE,0,0,0.333333333,0.8,1,4096589,3,0,FALSE,FALSE,0.19479434,yes
0.4,0.8,0.288675135,0.833333333,0.589255651,5,0.6,FALSE,0,0.447213595,0.447213595,0.714285714,0.714285714,99225,0,1,FALSE,FALSE,0.809645934,no
0.666666667,0.333333333,0.40824829,0.75,0.857142857,2,0.333333333,FALSE,0,0.666666667,0.666666667,0.5,0.5,2073585,0,0,TRUE,TRUE,0.838193328,no
0.5,0.333333333,0.577350269,0.6,0.714285714,3,0.5,FALSE,0,0.577350269,0.577350269,0.6,0.6,895050,0,1,FALSE,FALSE,0.706133758,no
0.2,0.8,0.75,0.4,0.668153105,7,1,FALSE,0,0.223606798,0.670820393,0.5,0.875,115455,1,1,TRUE,FALSE,0.709613255,yes
0.5,0.75,0.333333333,0.8,0.668153105,4,0.5,FALSE,0,0.5,0.5,0.666666667,0.666666667,4096577,0,0,TRUE,FALSE,0.304939694,no
0.333333333,0.8,0.670820393,0.5,0.661437828,7,1,FALSE,0.707106781,0.365148372,0.547722558,0.625,0.777777778,4097009,1,1,FALSE,FALSE,0.759497109,no
0.166666667,0.666666667,0.316227766,0.833333333,0.733799386,7,0.833333333,FALSE,0,0.23570226,0.471404521,0.714285714,0.875,4096577,0,3,FALSE,FALSE,0.551166429,no
1,0.5,1,0,1,0,0,FALSE,0,1,1,0,0,1227150,0,0,TRUE,TRUE,1,yes
0.4,1,0.516397779,0.666666667,0.67936622,4,0.6,FALSE,0,0.516397779,0.516397779,0.666666667,0.666666667,6075,0,2,FALSE,FALSE,0.964132266,no
0,0.5,0,1,0.21821789,10,1,FALSE,0,0,0,1,1,2074651,3,2,FALSE,FALSE,0.012117876,no
0.166666667,0.333333333,0.223606798,0.875,0.635107349,10,0.833333333,FALSE,0,0.166666667,0.166666667,0.909090909,0.909090909,141086,3,0,FALSE,FALSE,0.351578462,no
0.666666667,0.6,0.670820393,0.5,0.852802865,3,0.333333333,FALSE,0,0.730296743,0.730296743,0.428571429,0.428571429,4096577,0,1,FALSE,FALSE,0.791147682,no
0,0.666666667,0,1,0.433012702,6,1,FALSE,0,0,0,1,1,1622394,1,0,FALSE,FALSE,-0.003899459,no
0.714285714,0.8,0.377964473,0.777777778,0.478091444,2,0.857142857,FALSE,0,0.845154255,0.845154255,0.285714286,0.285714286,4097010,0,2,TRUE,TRUE,0.857618554,yes
0.4,0.2,0.75,0.4,0.79385662,6,0.6,FALSE,0,0.4,0.6,0.571428571,0.75,849068,1,0,FALSE,TRUE,0.810143001,yes
0.333333333,0.666666667,0.5,0.666666667,0.666666667,4,0.666666667,FALSE,0,0.333333333,0.333333333,0.8,0.8,177365,3,0,TRUE,FALSE,0.045796902,no
0.4,0.8,0.4,0.75,0.555555556,5,1,FALSE,0,0.447213595,0.447213595,0.714285714,0.714285714,103366,3,1,TRUE,TRUE,0.080802144,no
0,0.3,0.169030851,0.909090909,0.404519917,14,1,FALSE,0,0,0.158113883,0.923076923,1,441769,3,6,FALSE,FALSE,0.423106989,no
0.5,0.25,0.707106781,0.5,0.789542034,5,0.5,FALSE,0,0.632455532,0.632455532,0.555555556,0.555555556,66388,1,3,FALSE,FALSE,0.701755322,yes
0,0.666666667,0.353553391,0.8,0.533001791,8,1,FALSE,0,0,0.25819889,0.857142857,1,437271,1,2,FALSE,FALSE,0.547352344,no
0.6,0.6,0.670820393,0.5,0.769800359,4,0.4,FALSE,0,0.6,0.6,0.571428571,0.571428571,726210,0,0,TRUE,TRUE,0.701704847,no
0.5,0.4,0.6,0.571428571,0.834622326,5,1,FALSE,0,0.547722558,0.547722558,0.625,0.625,411112,0,1,FALSE,TRUE,0.73318256,no
0.333333333,0.333333333,0.577350269,0.6,0.67936622,5,1,FALSE,0,0.471404521,0.471404521,0.714285714,0.714285714,1420683,0,3,TRUE,TRUE,0.417686538,no
0.375,0.285714286,0.46291005,0.7,0.7,9,1,FALSE,0,0.400891863,0.400891863,0.75,0.75,805921,0,1,FALSE,FALSE,0.625017814,yes
0,0.666666667,0.5,0.666666667,0.676123404,5,1,FALSE,0,0,0.40824829,0.75,1,2076711,1,1,FALSE,FALSE,0.057091732,yes
1,0.5,1,0,1,0,0,FALSE,1,1,1,0,0,4096576,0,0,TRUE,TRUE,1,yes
0.5,0.25,0.666666667,0.5,0.8,4,0.5,FALSE,0,0.5,0.5,0.666666667,0.666666667,1589531,0,0,TRUE,TRUE,0.787839752,yes
0.333333333,0.333333333,0.25819889,0.857142857,0.356348323,7,0.833333333,FALSE,0,0.365148372,0.365148372,0.777777778,0.777777778,4097011,0,1,FALSE,FALSE,0.569648349,no
0.25,0.333333333,0.666666667,0.5,0.755928946,5,1,FALSE,0,0.288675135,0.577350269,0.6,0.833333333,177544,1,1,TRUE,FALSE,0.772489808,yes
0.666666667,0.333333333,0.5,0.666666667,0.833333333,2,0.333333333,FALSE,0,0.666666667,0.666666667,0.5,0.5,12256,0,0,TRUE,FALSE,0.341275392,yes
0.333333333,0.333333333,0,1,0.666666667,4,0.666666667,FALSE,0,0.333333333,0.333333333,0.8,0.8,722783,0,0,FALSE,TRUE,0.759513412,no
0.222222222,0.444444444,0.571428571,0.6,0.779193722,12,1,FALSE,0,0.251976315,0.629940788,0.545454545,0.857142857,407033,0,2,FALSE,FALSE,0.819414039,yes
0.4,0.2,0.447213595,0.714285714,0.727606875,6,0.6,FALSE,0,0.4,0.6,0.571428571,0.75,773004,0,0,TRUE,TRUE,0.354404036,yes
0.8,0.6,0.75,0.4,0.9,2,0.2,FALSE,0,0.8,0.8,0.333333333,0.333333333,4096577,0,0,TRUE,TRUE,0.822135618,yes
